array,filename,row,col,mean_intensity,area,solidity,circularity,max_gradient,kmeans_4,dbscan,gmm,agglomerative,spectral
Array_3Crop,"Array_3Crop_18,17.bmp",18,17,72.4765625,330.5,0.5188383045525903,0.24452307930795777,32.55764119219941,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,18.bmp",18,18,72.63916015625,361.0,0.5109695682944091,0.19243278395546443,33.1058907144937,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,19.bmp",18,19,72.579833984375,385.5,0.4393162393162393,0.14320494237673145,31.016124838541646,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,2.bmp",18,2,72.5478515625,351.0,0.4494238156209987,0.16873210398251498,36.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,20.bmp",18,20,73.780029296875,305.5,0.4939369442198868,0.23564061505951497,40.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,21.bmp",18,21,72.30587923728814,375.5,0.559612518628912,0.17664874063210526,32.2490309931942,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,3.bmp",18,3,72.384521484375,353.0,0.5422427035330261,0.210826992123657,31.144823004794873,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,4.bmp",18,4,72.4580078125,360.0,0.5413533834586466,0.2510978426067936,32.31098884280702,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,5.bmp",18,5,72.7744140625,350.5,0.5421500386697602,0.2297200068752557,39.44616584663204,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,6.bmp",18,6,69.698486328125,379.5,0.6023809523809524,0.2670245863548632,36.87817782917155,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,7.bmp",18,7,70.975341796875,342.0,0.5927209705372617,0.24892314521267273,33.61547262794322,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,8.bmp",18,8,70.656005859375,363.0,0.5970394736842105,0.26698961038802743,41.012193308819754,0,0,2,0,0
Array_3Crop,"Array_3Crop_18,9.bmp",18,9,70.2548828125,336.0,0.5494685200327064,0.24583841945223828,29.120439557122072,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,1.bmp",19,1,73.05091594827586,415.5,0.5603506405933918,0.21980386885833356,35.12833614050059,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,10.bmp",19,10,71.962646484375,425.0,0.648854961832061,0.3001282480053338,35.608987629529715,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,11.bmp",19,11,73.061767578125,481.5,0.4579172610556348,0.10554018042303905,65.25335240430181,0,-1,1,0,0
Array_3Crop,"Array_3Crop_19,12.bmp",19,12,71.38134765625,336.0,0.46058944482522274,0.1984011731061348,32.0,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,13.bmp",19,13,71.670166015625,379.0,0.47110006215040395,0.19189883279299422,32.64965543462902,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,14.bmp",19,14,72.09033203125,349.5,0.4418457648546144,0.12705351841760895,37.33630940518894,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,15.bmp",19,15,72.38427734375,368.0,0.517945109078114,0.23083666899559802,32.28002478313795,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,16.bmp",19,16,72.612548828125,403.0,0.5250814332247556,0.24462479151285907,30.265491900843113,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,17.bmp",19,17,72.911865234375,368.5,0.49763673193787983,0.18715845063511566,31.144823004794873,0,0,2,0,0
Array_3Crop,"Array_3Crop_19,18.bmp",19,18,73.12158203125,350.0,0.5068790731354091,0.20434050699797016,29.832867780352597,0,0,2,0,0
