array,row,col,filename,defect_type,layer_layer_missing,layer_layer_collapsed,layer_layer_stitching,center_mean,center_std,center_edge_contrast,mean_intensity,dark_ratio,contour_area,stitching_score,max_intensity_jump,rotation_asymmetry,neighbor_deviation,anisotropy,curvature_irregularity,radial_deviation,lof_score,is_lof_outlier
Array_1Crop,12,18,"Array_1Crop_12,18.bmp",Good,2,2.0,0.0,63.048828125,7.4382587975418675,-8.474283854166671,69.404541015625,0.874755859375,0.342041015625,20.071972656249997,1.640625,8.32049930512049,1.8053829028574606,0.0964706192360062,4.320660618319063,9.138343635607589,1.0582709030230073,0.0
Array_1Crop,12,19,"Array_1Crop_12,19.bmp",Good,2,2.0,0.0,63.2138671875,7.604491058815891,-9.870768229166671,70.616943359375,0.82373046875,0.336669921875,23.256542968749997,1.859375,8.812999722811492,1.1732084314929612,0.08258282349245666,13.990035052983714,9.741361656335675,1.0046071214571657,0.0
Array_1Crop,12,2,"Array_1Crop_12,2.bmp",Collapsed,2,1.0,,56.0869140625,15.857558844546022,-14.827473958333329,67.20751953125,0.710693359375,0.304443359375,,,,,,,,,
Array_1Crop,12,20,"Array_1Crop_12,20.bmp",Good,2,0.0,1.0,64.162109375,7.0528896064334585,-11.095703125,72.48388671875,0.72412109375,0.5428466796875,33.46484375,1.890625,11.22128907174833,0.37886813783323403,0.143067155162142,25.952878023324573,10.181617735623496,1.1732076498058746,0.0
Array_1Crop,12,21,"Array_1Crop_12,21.bmp",Good,2,0.0,1.0,63.58020833333333,6.996265667477941,-10.605902777777786,71.53463541666666,0.7427083333333333,0.479296875,31.11302083333335,2.0625,12.08425141665721,0.9637343402817987,0.13748742229033112,3.4797477602883937,11.749910508645643,1.1185073777181664,0.0
Array_1Crop,12,3,"Array_1Crop_12,3.bmp",Good,2,2.0,0.0,62.505859375,7.5775911438084735,-12.468424479166671,71.857177734375,0.811279296875,0.308837890625,23.815722656250003,1.9375,7.470068057293074,1.5196933445933134,0.09867377957671492,10.020517866992504,13.15373269980667,1.0354692509760421,0.0
Array_1Crop,12,4,"Array_1Crop_12,4.bmp",Good,2,2.0,0.0,62.78125,7.471626015299481,-13.490885416666671,72.8994140625,0.771728515625,0.2724609375,27.636914062499997,1.53125,8.298552750503484,2.120905706644725,0.05744354240493043,13.321653136368408,15.383978241819024,1.0944403793865918,0.0
Array_1Crop,12,5,"Array_1Crop_12,5.bmp",Good,2,2.0,0.0,61.67578125,8.080065614037329,-10.676432291666671,69.68310546875,0.869384765625,0.3802490234375,23.682421875000003,1.75,8.789280423674464,0.8785022944726274,0.18328762784993824,5.502841429933156,11.437657949284956,1.0374709045948918,0.0
Array_1Crop,12,6,"Array_1Crop_12,6.bmp",Collapsed,2,1.0,,51.7060546875,13.353608860183051,-17.0947265625,64.527099609375,0.8251953125,0.3187255859375,,,,,,,,,
Array_1Crop,12,7,"Array_1Crop_12,7.bmp",Collapsed,2,1.0,,54.0732421875,13.560393947797763,-14.712565104166671,65.107666015625,0.823486328125,0.3443603515625,,,,,,,,,
Array_1Crop,12,8,"Array_1Crop_12,8.bmp",Good,2,2.0,0.0,62.8740234375,8.169514419058252,-7.288736979166671,68.340576171875,0.911865234375,0.358642578125,24.262597656249994,1.875,10.29889410893487,1.073917370966539,0.09944247925822709,5.7442355023358616,10.136120766509277,1.0315164255374305,0.0
Array_1Crop,12,9,"Array_1Crop_12,9.bmp",Good,0,2.0,0.0,63.64453125,8.104337270423377,-4.4716796875,66.998291015625,0.95068359375,0.3817138671875,18.724902343750003,1.875,10.31679509111161,0.8982756266830186,0.22838236668068865,24.490097301322997,12.318228392976255,1.031458101929256,0.0
